	HSC	MPP1	MPP2	CLP	CMP	GMP	MEP	CD4	CD8	B_cell	Eryth	Granu	Mono	TBSC	ABSC	MTAC	CLDC	EPro	EDif
Dlat	0.01	0.003	0.004	0.003	0.002	0.002	0.002	0.003	0.001	0.002	0.007	0.001	0	0.004	0.003	0.007	0.001	0.001	0.002
Sdhd	0.006	0.002	0.001	0.003	0.001	0.001	0.003	0.004	0.001	0.003	0.005	0.001	0.002	0.006	0.002	0.007	0.001	0.001	0.001
Fgf23	0.6393333333	0.6386666667	0.62	0.6433333333	0.6543333333	0.6543333333	0.6143333333	0.649	0.602	0.6446666667	0.2836666667	0.648	0.6306666667	0.6163333333	0.6116666667	0.58	0.5593333333	0.6403333333	0.6203333333
Ccnd2	0.437	0.42725	0.4325	0.4365	0.436	0.422125	0.40625	0.446125	0.4265	0.431625	0.3705	0.410875	0.42975	0.41475	0.422375	0.379625	0.379875	0.441	0.41725
Gpr107	0.535	0.543	0.569	0.58375		0.53525	0.54925	0.59625	0.602	0.576		0.5365	0.57375	0.25725	0.2515	0.2305	0.27025	0.48725	
Gpr107	0.535	0.543	0.569	0.58375	0.565	0.53525	0.54925	0.59625	0.602	0.576	0.50075	0.5365	0.57375	0.25725	0.2515	0.2305	0.27025	0.48725	0.24875
Btbd17	0.882	0.924	0.921	0.962	0.952	0.949	0.905	0.965	0.968	0.963	0.778	0.966	0.896	0.91	0.89	0.891	0.867	0.913	0.9
Th	0.6463333333	0.65	0.6541666667	0.659	0.6803333333	0.652	0.6051666667	0.6495	0.652	0.657	0.5043333333	0.6451666667	0.6535	0.5556666667	0.5733333333	0.4086666667	0.5253333333	0.5126666667	0.5005
Ins2	0.8832857143	0.8885714286	0.896	0.9078571429	0.9071428571	0.9005714286	0.8745714286	0.9234285714	0.9237142857	0.9082857143	0.7328571429	0.8894285714	0.8987142857	0.8282857143	0.8047142857	0.7924285714	0.7972857143	0.8678571429	0.8651428571
Scnn1g	0.6537142857	0.6608571429	0.6778571429	0.6725714286	0.6854285714	0.6867142857	0.6478571429	0.6618571429	0.6771428571	0.6892857143	0.5918571429	0.6671428571	0.678	0.5341428571	0.55	0.5268571429	0.5351428571	0.5554285714	0.5562857143
Drp2	0.926	0.941	0.944	0.949	0.97	0.924	0.934	0.94	0.973	0.952	0	0.97	0.94	0.865	0.82	0.758	0.696	0.85	0.774
Lhx2	0.1509230769	0.2163076923	0.2187692308	0.2386923077	0.2377692308	0.2314615385	0.2080769231	0.2313846154	0.2444615385	0.2276923077	0.1453076923	0.2344615385	0.2493846154	0.1511538462	0.161	0.1818461538	0.3143846154	0.323	0.2962307692
Gmpr	0.3506666667	0.3666666667	0.358	0.3543333333	0.3756666667	0.3643333333	0.328	0.3766666667	0.3626666667	0.358	0.2903333333	0.3593333333	0.284	0.3653333333	0.3463333333	0.3463333333	0.321	0.354	0.3573333333
Glra1	0.7294	0.7782	0.7882	0.8218	0.8066	0.7921	0.7654	0.8164	0.8134	0.725	0.7004	0.8043	0.804	0.723	0.7255	0.6849	0.6837	0.7332	0.7379
Mid2	0.2993333333	0.3033333333	0.291	0.2986666667	0.296	0.2936666667	0.298	0.2953333333	0.2976666667	0.2986666667	0.291	0.2843333333	0.277	0.4166666667	0.3716666667	0.422	0.2483333333	0.4573333333	0.425
Trim25	0.2376	0.2368	0.234	0.2428	0.2388	0.2224	0.2452	0.2828	0.3604	0.2286	0.217	0.2076	0.2604	0.2566	0.3248	0.298	0.3296	0.2864	0.2802
Dgke	0.004	0	0.009	0	0	0	0.003	0	0	0	0	0	0	0	0.012	0	0	0	0
Mnt	0.5747272727	0.5852727273	0.5890909091	0.5938181818	0.5985454545	0.5960909091	0.5645454545	0.5981818182	0.5599090909	0.6105454545	0.5032727273	0.5847272727	0.5531818182	0.4382727273	0.4538181818	0.4392727273	0.431	0.4035454545	0.4053636364
Itgb2	0.7302857143	0.7632857143	0.7722857143	0.7605714286	0.7347142857	0.6467142857	0.6944285714	0.7902857143	0.7987142857	0.826	0.471	0.6357142857	0.7618571429	0.6111428571	0.6251428571	0.4604285714	0.5655714286	0.6917142857	0.6548571429
Hddc2	0.015	0.009	0.007	0.003	0.005	0.006	0.006	0.005	0.005	0.005	0.004	0.002	0.006	0.007	0.004	0.007	0.002	0.001	0.003
Tpd52l1	0.6303333333	0.636	0.638	0.6473333333	0.6353333333	0.647	0.631	0.6473333333	0.6493333333	0.6563333333	0.5606666667	0.6356666667	0.648	0.6376666667	0.6456666667	0.6166666667	0.6236666667	0.6433333333	0.648
Pemt	0.385	0.3918333333	0.3966666667	0.4018333333	0.4043333333	0.4035	0.4121666667	0.4361666667	0.4558333333	0.3701666667	0.41	0.4043333333	0.4116666667	0.4591666667	0.4671666667	0.3661666667	0.4095	0.4686666667	0.458
Cdh1	0.5547777778	0.5861111111	0.6011111111	0.625	0.613	0.586	0.5752222222	0.666	0.6628888889	0.608	0.3257777778	0.5631111111	0.5971111111	0.4341111111	0.4698888889	0.4533333333	0.4496666667	0.4504444444	0.4446666667
Cdh4	0.4861666667	0.5128333333	0.5308333333	0.4226666667	0.5393333333	0.5415	0.4971666667	0.5498333333	0.563	0.5575	0.3146666667	0.53	0.5445	0.4936666667	0.4813333333	0.463	0.4625	0.492	0.5066666667
Ckmt1	0.024	0.034	0.028	0.045	0.042	0.033	0.028	0.064	0.05	0.027	0.038	0.02	0.027	0.003	0.01	0.007	0.017	0.01	0.012
Bcl6b	0.003	0.004	0.0055	0.0015	0.0055	0.002	5.0E-4	0.002	0.004	0.001	0.001	0.006	0.0075	0.0095	0.005	0.008	0.0045	0.0015	0.0045
Clec10a	0.4444	0.4482	0.4802	0.4898	0.459	0.438	0.4406	0.556	0.57	0.5252	0.3578	0.4262	0.4798	0.5918	0.616	0.5832	0.5086	0.5738	0.5718
Alox12	0.5818333333	0.6086666667	0.6081666667	0.6105	0.6268333333	0.6128333333	0.5906666667	0.6258333333	0.6366666667	0.6358333333	0.5113333333	0.565	0.5895	0.538	0.5325	0.4901666667	0.463	0.5298333333	0.5425
Arvcf	0.5906	0.642	0.6524	0.683	0.6596	0.613	0.6312	0.5718	0.559	0.7138	0.574	0.5816	0.652	0.354	0.3738	0.3648	0.375	0.3142	0.3692
Rtcd1	0.013	0.003	0.0045	0.0025	0.001	0.003	0.002	0.002	0.002	0.0015	0.002	5.0E-4	5.0E-4	0.004	0.0025	0.0065	0.001	0.0015	0.002
Dbt	0.0105	5.0E-4	0.0025	5.0E-4	0.002	0.008	0.0075	0.001	0.002	0.006	0.002	0.0045	0	0.002	0.001	0.003	0	5.0E-4	5.0E-4
Dazap2	0.006	0.004	0.002	0.001	0.004	0.003	0.004	0.003	0.004	0.002	0	0.002	0	0.007	0.004	0.003	0.004	0.006	0.002
Mcts1	0.001	0.001	0.001	0	0.004	0	0	0.004	0	0.003	0	0.004	0.004	0.325	0.33	0.205	0.027	0.32	0.295
Rem1	0.5384	0.575	0.573	0.592	0.593	0.6018	0.5688	0.5984	0.5946	0.611	0.5234	0.5784	0.614	0.485	0.4578	0.3532	0.478	0.5072	0.5096
Rnf17	0.777	0.828	0.8323333333	0.8723333333	0.8626666667	0.848	0.8326666667	0.8933333333	0.8733333333	0.8893333333	0.8246666667	0.8403333333	0.8493333333	0.8536666667	0.8173333333	0.7973333333	0.8136666667	0.8526666667	0.8493333333
Trappc10	0.564	0.5866666667	0.627	0.639	0.594	0.604	0.4403333333	0.652	0.6386666667	0.6386666667	0.416	0.596	0.637	0.5773333333	0.5746666667	0.5603333333	0.554	0.6206666667	0.6203333333
Ccm2	0.525	0.5831428571	0.5974285714	0.6351428571	0.6147142857	0.6018571429	0.5478571429	0.6287142857	0.6212857143	0.6237142857	0.5362857143	0.5792857143	0.6162857143	0.439	0.4282857143	0.3972857143	0.41	0.4717142857	0.4665714286
Wap	0.922	0.93	0.943	0.958	0.953	0.917	0.902	0.953	0.949	0.977	0.808	0.922	0.898	0.753	0.881	0.756	0.809	0.804	0.864
Tbrg4	0.3196666667	0.305	0.3023333333	0.3186666667	0.2996666667	0.297	0.2783333333	0.3196666667	0.317	0.3203333333	0.2496666667	0.308	0.3316666667	0.262	0.281	0.2566666667	0.2346666667	0.262	0.262
Tmprss2	0.3808	0.4086	0.412	0.4186	0.412	0.4106	0.3874	0.4376	0.4574	0.4376	0.3494	0.4066	0.4344	0.3568	0.3276	0.347	0.3268	0.3354	0.336
Fap	0.5995	0.599	0.6145	0.592	0.6165	0.6045	0.567	0.663	0.6375	0.651	0.5655	0.5945	0.6135	0.802	0.8235	0.791	0.7185	0.831	0.8115
Gcg	0.905	0.942	0.968	0.979	0.965	0.947	0.927	0.956	0.975	0.953	0.872	0.972	0.955	0.93	0.943	0.911	0.89	0.933	0.904
Ndufa9	0.005	0.003	0.003	0.001	0.003	0.004	0.001	0.004	0.002	0.006	0.006	0	0.002	0.003	0.005	0.004	0.002	0.001	0.001
Egfl6	0.917	0.932	0.938	0.938	0.938	0.948	0.93	0.946	0.956	0.952	0.787	0.932	0.951	0.94	0.945	0.927	0.932	0.935	0.925
Lck	0.5515	0.574	0.591	0.603	0.5935	0.581	0.555	0.6195	0.6145	0.5625	0.489	0.5635	0.578	0.5555	0.558	0.5835	0.5035	0.5245	0.539
Cttnbp2	0.566	0.5825	0.59825	0.61025	0.61625	0.62475	0.60625	0.6305	0.629	0.62775	0.51275	0.60275	0.64525	0.6105	0.5695	0.6015	0.47275	0.60525	0.594
Galnt1	0.6128333333	0.6043333333	0.6123333333	0.6291666667	0.6246666667	0.6178333333	0.6021666667	0.6161666667	0.6281666667	0.6106666667	0.4443333333	0.6085	0.6276666667	0.5441666667	0.5676666667	0.5578333333	0.5138333333	0.4916666667	0.5206666667
Mkrn2	0.3633333333	0.4266666667	0.4326666667	0.431	0.4496666667	0.3853333333	0.433	0.4196666667	0.4253333333	0.357	0.451	0.401	0.404	0.5933333333	0.5833333333	0.5753333333	0.5636666667	0.6106666667	0.6183333333
Pparg	0.4586	0.52	0.518	0.5462	0.5226	0.5232	0.415	0.5564	0.5518	0.5252	0.3546	0.5034	0.5322	0.478	0.4916	0.4318	0.402	0.492	0.4856
Raf1	0.6645	0.7273333333	0.7283333333	0.747	0.7633333333	0.7601666667	0.7265	0.7611666667	0.7628333333	0.7083333333	0.6608333333	0.7526666667	0.7411666667	0.3763333333	0.3696666667	0.3473333333	0.354	0.5026666667	0.4836666667
Pdgfb	0.6424545455	0.6914545455	0.7098181818	0.7320909091	0.7344545455	0.716	0.6036363636	0.562	0.6441818182	0.6615454545	0.6337272727	0.6945454545	0.6979090909	0.4917272727	0.5264545455	0.3886363636	0.4305454545	0.5900909091	0.5954545455
Acvrl1	0.533625	0.535875	0.5505	0.554625	0.55325	0.523125	0.53525	0.63975	0.631125	0.59925	0.356875	0.5055	0.472875	0.37375	0.378125	0.318125	0.307	0.385875	0.395125
Grasp	0.2392222222	0.2343333333	0.2354444444	0.2324444444	0.2397777778	0.2277777778	0.2307777778	0.235	0.2291111111	0.2323333333	0.2113333333	0.2318888889	0.2334444444	0.1702222222	0.1787777778	0.0855555556	0.1775555556	0.1905555556	0.1877777778
Acvr1b	0.4265	0.43825	0.4545	0.4895	0.4565	0.45375	0.36975	0.487	0.50375	0.51675	0.315	0.4535	0.4685	0.0055	0.0025	0.007	0.019	0.017	0.03175
Gpa33	0.5442	0.556	0.5776	0.5714	0.5736	0.5602	0.5466	0.6212	0.6374	0.593	0.5124	0.568	0.575	0.425	0.419	0.395	0.4118	0.4046	0.4232
Zfp385a	0.3146666667	0.2963333333	0.303	0.3203333333	0.3143333333	0.3193333333	0.3016666667	0.322	0.3173333333	0.3316666667	0.2763333333	0.314	0.3123333333	0.2983333333	0.3143333333	0.3276666667	0.3073333333	0.3233333333	0.3273333333
Itga5	0.5633333333	0.585	0.5946666667	0.6046666667	0.6056666667	0.603	0.5943333333	0.611	0.6093333333	0.608	0.5803333333	0.6103333333	0.6143333333	0.613	0.619	0.6033333333	0.6143333333	0.6216666667	0.62
Gabra2	0.8897777778	0.9095555556	0.921	0.9378888889	0.9343333333	0.9327777778	0.9161111111	0.9387777778	0.9398888889	0.938	0.7821111111	0.9196666667	0.9348888889	0.8262222222	0.8796666667	0.8145555556	0.8735555556	0.8841111111	0.824
Adora3	0.7323333333	0.7373333333	0.7486666667	0.7536666667	0.7326666667	0.6746666667	0.6573333333	0.731	0.724	0.7246666667	0.5666666667	0.6413333333	0.6806666667	0.656	0.725	0.6726666667	0.4213333333	0.5653333333	0.4086666667
Sox9	0.013	0.018	0.01825	0.02325	0.03025	0.006	0.0315	0.0525	0.047	0.03975	0.0035	0.0265	0.0245	0.01	0.00625	0.009	0.014	0.04675	0.0565
Sox9	0.02	0.018	0.01825	0.02325	0.03025	0.03	0.0315	0.0525	0.047	0.03975	0.0035	0.0265	0.0245	0.01	0.00625	0.009	0.014	0.04675	0.0565
Hnrnpd	0.01	0.006	0.003	0.005	0.004	0.003	0.002	0.004	0.005	0.005	0	0.002	0	0.005	0.004	0.007	0.003	0.001	0.002
C1d	0.606	0.60075	0.6325	0.622	0.61125	0.579	0.54025	0.56125	0.57775	0.621	0.46525	0.561	0.59425	0.6205	0.60575	0.57325	0.58825	0.4555	0.44575
Gm2a	0.043	0.028	0.024	0.022	0.031	0.017	0.027	0.024	0.023	0.015	0.044	0.025	0.032	0.016	0.011	0.024	0.032	0.051	0.057
Krit1	0.019	0.005	0.005	0.006	0.004	0.001	0.003	0.003	0.009	0.004	0	0.003	0.005	0.01	0.004	0.007	0.002	0	0.002
Clcn4-2	0.2966666667	0.3056666667	0.3	0.307	0.322	0.3026666667	0.3096666667	0.313	0.313	0.3146666667	0.2713333333	0.2963333333	0.318	0.2773333333	0.2923333333	0.2903333333	0.2793333333	0.2963333333	0.293
Sema4f	0.026	0.018	0.02	0.018	0.019	0.015	0.018	0.014	0.019	0.022	0.025	0.014	0.031	0.013	0.007	0.013	0.012	0.007	0.021
Hk2	0.6615	0.679	0.6795	0.71225	0.684	0.6815	0.63375	0.706	0.70225	0.703	0.39775	0.66475	0.67675	0.41125	0.4275	0.39975	0.41825	0.38125	0.40675
Myo18a	0.65396	0.677	0.68632	0.69132	0.68872	0.68768	0.6572	0.68316	0.68836	0.68396	0.61528	0.67756	0.69164	0.43844	0.4574	0.42248	0.47216	0.55328	0.5376
Sez6	0.1083333333	0.1673333333	0.174	0.186	0.2036666667	0.1843333333	0.1736666667	0.1766666667	0.179	0.1906666667	0.1653333333	0.1956666667	0.1876666667	0.1843333333	0.1703333333	0.167	0.1576666667	0.1706666667	0.1793333333
Haao	0.3552258065	0.3812903226	0.4240322581	0.4433548387	0.426	0.414	0.4020967742	0.4900322581	0.5053548387	0.4853225806	0.3680967742	0.4134516129	0.4484516129	0.3292580645	0.3570322581	0.3117096774	0.3175483871	0.4223870968	0.3826129032
Abhd15	0.012	0.006	0.005	0.002	0.004	0.002	0.001	0.002	0.001	0.002	0.003	0.001	0.002	0.007	0.003	0.006	0.001	0.001	0.003
Hoxb6	0.2506666667	0.3436666667	0.3556666667	0.3696666667	0.3856666667	0.364	0.3773333333	0.3383333333	0.3013333333	0.3466666667	0.2973333333	0.3776666667	0.3263333333	0.0056666667	0.042	0.0716666667	0.0663333333	0.1953333333	0.2043333333
Loxl3	0.558375	0.583875	0.586625	0.602	0.594	0.5845	0.526625	0.630875	0.63775	0.62175	0.48625	0.57925	0.6125	0.503125	0.500625	0.505375	0.486	0.486875	0.498125
Kat2b	0.281	0.2883333333	0.2843333333	0.2973333333	0.2983333333	0.295	0.285	0.289	0.282	0.2873333333	0.28	0.29	0.2833333333	0.1346666667	0.1406666667	0.1346666667	0.1593333333	0.1776666667	0.1753333333
Rab5b	0.012	0.002	0.004	0.004	0.004	0.001	0.002	0.003	0.004	0.004	0.001	0.001	0.001	0.006	0	0.007	0.002	0.004	0.003
Cryba1	0.888	0.917	0.916	0.935	0.924	0.894	0.899	0.92	0.929	0.899	0.759	0.892	0.943	0.717	0.66	0.673	0.566	0.778	0.706
Dnmt3l	0.484	0.4795	0.476	0.4715	0.483	0.4715	0.455	0.512	0.4985	0.4755	0.0045	0.4725	0.491	0.118	0.102	0.057	0.107	0.111	0.108
Icosl	0.3073333333	0.3156666667	0.3236666667	0.3186666667	0.3283333333	0.3173333333	0.3173333333	0.3333333333	0.3436666667	0.0073333333	0.2956666667	0.315	0.3233333333	0.535	0.515	0.412	0.414	0.425	0.4053333333
Spg7	0.48225	0.531	0.576	0.54875	0.5	0.47225	0.501	0.70025	0.71075	0.6605	0.44125	0.43725	0.5175	0.38325	0.41125	0.4255	0.3935	0.433	0.43675
Sult5a1	0.6826666667	0.6927777778	0.9182222222	0.9292222222	0.933	0.9231111111	0.8957777778	0.9285555556	0.9241111111	0.9236666667	0.7881111111	0.9237777778	0.8663333333	0.8262222222	0.8568888889	0.8398888889	0.8136666667	0.8457777778	0.8422222222
Rpl13	0.033	0.064	0.068	0.079	0.083	0.075	0.072	0.074	0.083	0.078	0.083	0.084	0.09	0.079	0.058	0.06	0.078	0.076	0.075
Oprm1	0.8323076923	0.8339230769	0.8352307692	0.8553076923	0.8623846154	0.8538461538	0.8296923077	0.8645384615	0.8666153846	0.8663846154	0.7495384615	0.8319230769	0.8416153846	0.7769230769	0.85	0.828	0.7553076923	0.7786923077	0.7894615385
Polr3d	0.008	0.004	0.004	0.002	0.003	0.003	0.003	0.006	0.004	0.003	0.008	0.002	0.003	0.006	0.001	0.005	0.001	0.001	0.001
